category,image_count
jacuzzi_indoor,50
jail_indoor,50
jail_cell,50
jewelry_shop,50
kasbah,50
kennel_indoor,50
kennel_outdoor,50
kindergarden_classroom,50
kitchen,50
kitchenette,50
labyrinth_outdoor,50
lake_natural,50
landfill,50
landing_deck,50
laundromat,50
lecture_room,50
library_indoor,50
library_outdoor,50
lido_deck_outdoor,50
lift_bridge,50
lighthouse,50
limousine_interior,50
living_room,50
lobby,50
lock_chamber,50
locker_room,50
mansion,50
manufactured_home,50
market_indoor,50
market_outdoor,50
marsh,50
martial_arts_gym,50
mausoleum,50
medina,50
moat_water,50
monastery_outdoor,50
mosque_indoor,50
mosque_outdoor,50
motel,50
mountain,50
mountain_snowy,50
movie_theater_indoor,50
museum_indoor,50
music_store,50
music_studio,50
nuclear_power_plant_outdoor,50
nursery,50
oast_house,50
observatory_outdoor,50
ocean,50
office,50
office_building,50
oil_refinery_outdoor,50
oilrig,50
operating_room,50
orchard,50
outhouse_outdoor,50
pagoda,50
palace,50
pantry,50
park,50
parking_garage_indoor,50
parking_garage_outdoor,50
parking_lot,50
parlor,50
pasture,50
patio,50
pavilion,50
pharmacy,50
phone_booth,50
physics_laboratory,50
picnic_area,50
pilothouse_indoor,50
planetarium_outdoor,50
playground,50
playroom,50
plaza,50
podium_indoor,50
podium_outdoor,50
pond,50
poolroom_establishment,50
poolroom_home,50
power_plant_outdoor,50
promenade_deck,50
pub_indoor,50
pulpit,50
putting_green,50
racecourse,50
raceway,50
raft,50
railroad_track,50
rainforest,50
reception,50
recreation_room,50
residential_neighborhood,50
restaurant,50
restaurant_kitchen,50
restaurant_patio,50
rice_paddy,50
riding_arena,50
river,50
rock_arch,50
rope_bridge,50
ruin,50
runway,50
sandbar,50
sandbox,50
sauna,50
schoolhouse,50
sea_cliff,50
server_room,50
shed,50
shoe_shop,50
shopfront,50
shopping_mall_indoor,50
shower,50
skatepark,50
ski_lodge,50
ski_resort,50
ski_slope,50
sky,50
skyscraper,50
slum,50
snowfield,50
squash_court,50
stable,50
stadium_baseball,50
stadium_football,50
stage_indoor,50
staircase,50
street,50
subway_interior,50
subway_station_platform,50
supermarket,50
sushi_bar,50
swamp,50
swimming_pool_indoor,50
swimming_pool_outdoor,50
synagogue_indoor,50
synagogue_outdoor,50
television_studio,50
temple_east_asia,50
temple_south_asia,50
tennis_court_indoor,50
tennis_court_outdoor,50
tent_outdoor,50
theater_indoor_procenium,50
theater_indoor_seats,50
thriftshop,50
throne_room,50
ticket_booth,50
toll_plaza,50
topiary_garden,50
tower,50
toyshop,50
track_outdoor,50
train_railway,50
train_station_platform,50
tree_farm,50
tree_house,50
trench,50
underwater_coral_reef,50
utility_room,50
valley,50
van_interior,50
vegetable_garden,50
veranda,50
veterinarians_office,50
viaduct,50
videostore,50
village,50
vineyard,50
volcano,50
volleyball_court_indoor,50
volleyball_court_outdoor,50
waiting_room,50
warehouse_indoor,50
water_tower,50
waterfall_block,50
waterfall_fan,50
waterfall_plunge,50
watering_hole,50
wave,50
wet_bar,50
wheat_field,50
wind_farm,50
windmill,50
wine_cellar_barrel_storage,50
wine_cellar_bottle_storage,50
wrestling_ring_indoor,50
yard,50
youth_hostel,50
